User_ID,Age,Gender,Sleep_Duration,Stress_Level,Diet_Type,Daily_Screen_Time,Exercise_Frequency,Caffeine_Intake,Reaction_Time,Memory_Test_Score,Cognitive_Score,AI_Predicted_Score
U1,57,Female,6.5,3,Non-Vegetarian,6.5,Medium,41,583.33,65,36.71,39.77
U2,39,Female,7.6,9,Non-Vegetarian,10.8,High,214,368.24,58,54.35,57.68
U3,26,Male,8.2,6,Vegetarian,5.7,Low,429,445.21,49,32.57,29.54
U4,32,Male,7.8,9,Vegetarian,8.3,Low,464,286.33,94,70.15,74.59
U5,50,Male,9.7,2,Non-Vegetarian,11.3,Medium,365,237.65,62,87.54,91.78
U6,36,Female,7.4,10,Vegan,6.6,Low,381,453.43,70,31.71,32.77
U7,48,Male,6.7,2,Vegan,1.4,Low,39,407.13,51,59.17,55.92
U8,35,Female,6.0,1,Vegan,6.8,Medium,2,298.46,60,85.02,81.45
U9,29,Male,5.1,6,Non-Vegetarian,10.2,Low,244,380.08,82,50.67,54.17
U10,57,Female,7.9,9,Non-Vegetarian,9.1,High,355,417.96,54,44.39,43.88
U11,54,Female,7.3,8,Vegetarian,11.7,High,50,490.61,69,42.78,40.54
U12,18,Female,7.6,1,Vegan,2.6,Low,2,221.63,84,100.0,100.0
U13,51,Male,9.5,5,Non-Vegetarian,5.5,Low,30,384.25,72,67.11,63.6
U14,24,Female,9.3,1,Non-Vegetarian,3.5,High,342,342.53,74,94.42,94.36
U15,19,Male,6.0,2,Non-Vegetarian,6.1,Medium,67,559.14,44,31.32,33.52
U16,39,Female,4.6,3,Vegan,8.7,Medium,405,488.88,93,52.07,48.88
U17,21,Male,6.3,6,Vegetarian,3.1,Medium,158,433.19,75,63.09,66.12
U18,37,Male,7.5,7,Non-Vegetarian,4.8,Medium,147,454.81,79,59.56,61.46
U19,20,Female,5.7,7,Vegetarian,5.6,Low,207,400.35,60,43.13,45.45
U20,26,Male,5.8,2,Non-Vegetarian,10.7,High,497,491.49,47,33.2,37.52
U21,35,Female,8.7,8,Non-Vegetarian,4.0,High,281,360.05,48,63.77,65.28
U22,33,Male,8.4,5,Non-Vegetarian,9.4,Low,100,546.35,68,28.64,28.62
U23,26,Male,8.2,1,Non-Vegetarian,11.0,Medium,283,437.39,42,45.34,49.47
U24,36,Male,6.7,3,Non-Vegetarian,7.5,Medium,127,417.94,99,78.45,81.64
U25,23,Male,6.7,7,Vegetarian,11.6,Medium,178,242.71,64,74.99,73.51
U26,32,Female,4.1,6,Vegan,4.9,Medium,492,493.84,95,49.2,46.92
U27,23,Male,6.9,5,Non-Vegetarian,8.5,Medium,54,411.75,40,46.34,44.36
U28,22,Female,4.1,6,Vegetarian,2.2,High,218,549.06,73,43.53,42.09
U29,46,Female,7.3,8,Vegetarian,5.0,High,459,452.06,83,58.08,55.57
U30,44,Female,4.1,3,Non-Vegetarian,10.4,Medium,332,515.78,40,19.0,17.54
U31,58,Male,7.4,9,Non-Vegetarian,1.3,Low,8,406.82,94,68.89,67.02
U32,43,Male,5.2,3,Vegetarian,10.9,Medium,156,301.99,98,88.6,86.08
U33,45,Male,9.4,10,Non-Vegetarian,10.3,Medium,63,424.84,78,55.28,51.2
U34,49,Female,8.2,1,Non-Vegetarian,10.2,Medium,305,291.0,46,72.5,76.65
U35,42,Male,6.8,10,Non-Vegetarian,5.2,Medium,36,520.81,51,28.78,30.96
U36,24,Female,7.4,9,Non-Vegetarian,11.9,High,86,204.58,71,88.63,88.87
U37,47,Male,6.7,9,Non-Vegetarian,10.8,Medium,161,432.87,89,53.34,53.31
U38,48,Female,6.0,9,Non-Vegetarian,3.7,High,413,281.06,77,81.85,80.37
U39,29,Female,4.8,7,Vegan,3.2,Low,400,592.28,93,25.59,21.21
U40,26,Male,8.6,10,Non-Vegetarian,4.1,Medium,414,387.22,79,62.73,63.24
U41,51,Female,6.6,4,Non-Vegetarian,9.8,High,279,397.59,61,59.16,60.15
U42,20,Male,9.1,8,Non-Vegetarian,5.1,Medium,36,266.77,99,100.0,95.3
U43,54,Female,8.4,7,Vegetarian,1.6,High,208,379.94,68,76.92,79.46
U44,45,Male,6.3,5,Vegan,4.9,Medium,85,415.82,88,73.25,75.43
U45,39,Male,8.2,3,Non-Vegetarian,5.8,Low,72,420.7,96,73.14,71.48
U46,43,Female,8.1,3,Vegetarian,4.4,High,262,562.71,86,57.57,58.8
U47,36,Male,7.1,5,Vegetarian,4.6,Low,28,395.34,67,59.35,56.54
U48,38,Male,8.3,9,Non-Vegetarian,11.6,Medium,162,551.36,56,19.07,14.81
U49,54,Male,5.8,2,Non-Vegetarian,10.8,Low,477,308.88,73,61.88,57.39
U50,27,Male,6.4,1,Vegetarian,7.2,Low,5,437.17,69,56.54,53.94
U51,33,Female,4.2,1,Non-Vegetarian,4.7,Low,12,422.67,40,43.66,41.14
U52,41,Male,5.2,8,Non-Vegetarian,7.1,Low,170,523.12,65,20.66,16.43
U53,42,Male,8.4,3,Non-Vegetarian,5.6,Low,272,507.76,87,50.83,52.25
U54,43,Female,8.7,7,Non-Vegetarian,4.0,High,143,326.48,83,91.63,95.44
U55,18,Male,9.0,8,Non-Vegetarian,9.5,Medium,185,568.22,47,17.85,20.03
U56,21,Female,9.9,10,Vegetarian,1.7,Low,407,483.88,82,44.46,48.25
